zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Flushing Meadows-Corona Park,Queens,262,9.72,19.38,52.12,6.61,Residential,7
LaGuardia Airport,Queens,7392,11.19,19.61,58.47,8.34,Airport,7
Astoria Park,Queens,5,2.41,18.03,13.79,7.63,Residential,12
Canarsie,Brooklyn,493,3.36,21.35,19.74,7.37,Residential,12
Borough Park,Brooklyn,651,3.39,18.44,20.08,11.79,Residential,12
Forest Park/Highland Park,Queens,20,3.48,23.31,15.88,5.46,Residential,12
Brighton Beach,Brooklyn,406,3.51,20.4,19.63,31.46,Residential,12
Cypress Hills,Brooklyn,233,3.54,21.68,20.19,6.68,Residential,12
Sheepshead Bay,Brooklyn,541,3.59,20.3,20.24,18.45,Residential,12
West Farms/Bronx River,Bronx,135,3.62,20.51,19.93,6.74,Residential,12
Mount Hope,Bronx,229,3.68,19.3,20.65,7.31,Residential,12
Fordham South,Bronx,118,3.78,19.73,20.62,6.96,Residential,12
Parkchester,Bronx,243,3.85,23.39,20.35,6.49,Residential,12
Kew Gardens,Queens,468,3.89,27.05,20.64,6.43,Residential,12
Woodhaven,Queens,314,3.89,21.31,20.99,13.01,Residential,12
Williamsbridge/Olinville,Bronx,305,3.89,20.86,21.14,12.07,Residential,12
Bedford Park,Bronx,338,3.91,22.04,20.31,6.51,Residential,12
Co-Op City,Bronx,385,3.91,19.59,22.22,13.2,Residential,12
Jamaica,Queens,836,3.95,20.34,21.82,9.89,Residential,12
Jamaica Estates,Queens,218,3.98,19.26,23.07,18.59,Residential,12
Gravesend,Brooklyn,206,4.01,22.09,21.08,15.32,Residential,12
Midwood,Brooklyn,463,4.02,19.45,22.42,7.24,Residential,12
Saint George/New Brighton,Staten Island,330,4.09,22.45,20.62,6.8,Residential,12
Starrett City,Brooklyn,93,4.12,19.06,24.33,43.71,Residential,12
East Concourse/Concourse Village,Bronx,312,4.12,21.54,21.35,6.62,Residential,12
Rosedale,Queens,161,4.2,25.46,20.73,6.21,Residential,12
East Flatbush/Farragut,Brooklyn,365,4.23,20.56,23.05,18.4,Residential,12
South Beach/Dongan Hills,Staten Island,144,4.23,21.27,22.77,6.58,Residential,12
Stapleton,Staten Island,203,4.25,22.85,23.02,6.38,Residential,12
Flushing,Queens,908,4.3,21.23,22.81,13.54,Residential,12
Hillcrest/Pomonok,Queens,293,4.35,20.49,22.82,6.59,Residential,12
Hammels/Arverne,Queens,151,4.36,20.9,24.73,6.8,Residential,12
Steinway,Queens,1045,4.38,21.27,22.67,7.17,Residential,12
Central Harlem North,Manhattan,1046,4.41,20.68,23.8,10.02,Residential,12
Bayside,Queens,462,4.42,21.57,23.25,6.48,Residential,12
Bellerose,Queens,146,4.43,20.2,25.57,6.93,Residential,12
Glen Oaks,Queens,174,4.47,19.01,26.25,16.24,Residential,12
Oakland Gardens,Queens,172,4.48,19.78,24.25,6.28,Residential,12
Inwood,Manhattan,434,4.51,20.61,23.32,6.59,Residential,12
Whitestone,Queens,264,4.62,22.83,24.38,6.26,Residential,12
Douglaston,Queens,167,4.68,20.37,24.78,6.37,Residential,12
Marble Hill,Manhattan,106,4.7,23.89,23.42,6.02,Residential,12
Bay Ridge,Brooklyn,1365,4.7,24.09,22.99,6.06,Residential,12
Greenpoint,Brooklyn,1999,4.72,19.98,25.32,6.48,Residential,12
Great Kills,Staten Island,185,4.77,23.53,22.76,5.59,Residential,12
Heartland Village/Todt Hill,Staten Island,231,4.84,22.02,24.23,6.22,Residential,12
Long Island City/Queens Plaza,Queens,488,4.85,21.52,25.43,6.13,Residential,12
Columbia Street,Brooklyn,190,4.87,19.11,26.99,6.67,Residential,12
Oakwood,Staten Island,88,5.04,22.6,27.29,6.33,Residential,12
Carroll Gardens,Brooklyn,650,5.04,21.09,26.03,6.43,Residential,12
Brooklyn Navy Yard,Brooklyn,126,5.14,19.12,28.64,6.79,Residential,12
Belmont,Bronx,297,5.14,21.29,27.98,6.54,Residential,12
Fort Greene,Brooklyn,1184,5.15,19.82,27.66,6.47,Residential,12
Prospect Heights,Brooklyn,874,5.23,19.28,28.98,6.69,Residential,12
East Harlem South,Manhattan,1034,5.3,21.19,27.62,6.38,Residential,12
Cobble Hill,Brooklyn,419,5.69,20.42,29.67,6.31,Residential,12
Downtown Brooklyn/MetroTech,Brooklyn,956,5.7,18.63,31.49,7.36,Business,12
DUMBO/Vinegar Hill,Brooklyn,706,5.81,17.74,33.92,7.03,Residential,12
Kips Bay,Manhattan,1010,5.94,20.33,31.34,6.25,Residential,12
Lenox Hill East,Manhattan,1425,6.64,20.37,35.22,6.16,Residential,12
Randalls Island,Manhattan,12,6.73,21.43,31.54,5.06,Residential,12
Clinton West,Manhattan,1057,6.76,20.31,36.37,10.98,Residential,12
Hudson Sq,Manhattan,858,7.54,19.38,41.88,14.5,Residential,12
West Chelsea/Hudson Yards,Manhattan,2530,7.92,19.68,43.04,6.16,Residential,12
Battery Park,Manhattan,44,8.75,25.72,40.08,5.64,Residential,12
Times Sq/Theatre District,Manhattan,3849,9.8,20.43,51.87,6.83,Tourist,12
Borough Park,Brooklyn,678,3.21,17.35,19.71,9.67,Residential,2
Astoria Park,Queens,9,3.29,24.26,15.07,5.19,Residential,2
Canarsie,Brooklyn,455,3.33,21.35,18.65,7.73,Residential,2
Forest Park/Highland Park,Queens,18,3.42,19.24,20.03,6.99,Residential,2
Bedford Park,Bronx,307,3.44,21.54,17.8,6.73,Residential,2
Fordham South,Bronx,90,3.44,21.68,17.82,6.48,Residential,2
Williamsbridge/Olinville,Bronx,294,3.45,19.86,19.61,7.03,Residential,2
East Flatbush/Farragut,Brooklyn,359,3.47,19.07,20.18,7.04,Residential,2
Sheepshead Bay,Brooklyn,509,3.52,21.83,18.56,7.86,Residential,2
Brighton Beach,Brooklyn,327,3.59,19.99,19.82,23.2,Residential,2
Marble Hill,Manhattan,96,3.68,24.19,18.03,6.09,Residential,2
Stapleton,Staten Island,200,3.71,22.43,18.43,22.07,Residential,2
Co-Op City,Bronx,368,3.71,19.55,21.52,7.81,Residential,2
Rosedale,Queens,148,3.76,21.53,19.55,14.52,Residential,2
Jamaica Estates,Queens,228,3.8,19.4,22.21,8.25,Residential,2
Starrett City,Brooklyn,97,3.82,20.12,21.96,6.65,Residential,2
Midwood,Brooklyn,505,3.82,18.78,22.85,10.59,Residential,2
Cypress Hills,Brooklyn,222,3.86,20.28,21.39,10.66,Residential,2
Parkchester,Bronx,240,3.86,20.87,20.31,6.37,Residential,2
Jamaica,Queens,739,3.87,20.25,20.83,15.22,Residential,2
West Farms/Bronx River,Bronx,149,3.91,20.86,20.02,6.78,Residential,2
East Concourse/Concourse Village,Bronx,325,3.96,19.87,22.08,10.73,Residential,2
Kew Gardens,Queens,397,3.96,21.09,21.01,6.35,Residential,2
Flushing,Queens,863,4.02,20.62,21.83,8.88,Residential,2
Saint George/New Brighton,Staten Island,298,4.02,22.62,20.27,6.61,Residential,2
Mount Hope,Bronx,248,4.03,21.82,20.9,40.71,Residential,2
Hillcrest/Pomonok,Queens,308,4.13,20.71,21.98,12.97,Residential,2
Greenpoint,Brooklyn,2060,4.21,19.43,22.67,7.8,Residential,2
Gravesend,Brooklyn,203,4.22,21.7,21.83,6.53,Residential,2
Central Harlem North,Manhattan,1126,4.23,20.51,22.4,14.39,Residential,2
Bayside,Queens,408,4.28,21.45,22.4,6.32,Residential,2
Long Island City/Queens Plaza,Queens,476,4.29,20.78,22.31,12.77,Residential,2
Woodhaven,Queens,335,4.3,22.24,21.55,8.73,Residential,2
Steinway,Queens,1023,4.34,22.14,21.15,10.63,Residential,2
Columbia Street,Brooklyn,151,4.37,18.99,24.14,6.41,Residential,2
Fort Greene,Brooklyn,1220,4.38,19.55,23.88,6.8,Residential,2
Hammels/Arverne,Queens,130,4.4,19.85,25.9,6.76,Residential,2
Oakland Gardens,Queens,151,4.41,20.67,23.54,6.21,Residential,2
Inwood,Manhattan,405,4.41,21.03,23.01,8.33,Residential,2
Whitestone,Queens,211,4.46,20.99,23.78,9.8,Residential,2
Bay Ridge,Brooklyn,1273,4.49,23.71,22.16,6.06,Residential,2
Great Kills,Staten Island,167,4.63,21.87,24.14,6.3,Residential,2
Prospect Heights,Brooklyn,952,4.63,20.33,24.68,6.41,Residential,2
South Beach/Dongan Hills,Staten Island,196,4.69,22.37,23.95,6.24,Residential,2
Kips Bay,Manhattan,1060,4.77,21.2,24.48,6.25,Residential,2
East Harlem South,Manhattan,1165,4.77,21.35,24.25,6.82,Residential,2
Douglaston,Queens,166,4.79,20.26,25.14,6.11,Residential,2
Downtown Brooklyn/MetroTech,Brooklyn,1040,4.88,19.66,26.96,7.23,Business,2
Heartland Village/Todt Hill,Staten Island,194,4.92,21.56,25.9,6.76,Residential,2
Clinton West,Manhattan,1183,4.93,21.4,25.48,6.09,Residential,2
Belmont,Bronx,292,4.93,21.94,25.25,6.23,Residential,2
Carroll Gardens,Brooklyn,681,4.95,20.97,25.32,5.91,Residential,2
Cobble Hill,Brooklyn,431,5.08,20.48,27.69,6.39,Residential,2
Brooklyn Navy Yard,Brooklyn,194,5.1,18.86,27.3,6.75,Residential,2
DUMBO/Vinegar Hill,Brooklyn,748,5.11,18.5,29.04,11.67,Residential,2
Oakwood,Staten Island,92,5.17,22.41,26.63,6.56,Residential,2
Lenox Hill East,Manhattan,1470,5.38,21.12,27.1,5.92,Residential,2
Glen Oaks,Queens,142,5.74,19.79,31.09,6.54,Residential,2
Bellerose,Queens,122,5.9,20.92,33.29,6.4,Residential,2
West Chelsea/Hudson Yards,Manhattan,2553,6.17,20.44,32.16,6.86,Residential,2
Hudson Sq,Manhattan,900,6.28,20.93,32.14,8.22,Residential,2
Battery Park,Manhattan,35,6.36,19.59,32.9,6.17,Residential,2
Times Sq/Theatre District,Manhattan,3878,7.35,21.46,37.31,8.99,Tourist,2
Randalls Island,Manhattan,18,7.64,25.97,29.95,215.21,Residential,2
Madison,Brooklyn,367,3.41,21.16,18.69,6.78,Residential,6
Soundview/Bruckner,Bronx,156,3.51,19.31,20.01,6.86,Residential,6
Bronxdale,Bronx,164,3.58,20.11,19.59,7.22,Residential,6
Richmond Hill,Queens,434,3.62,21.42,19.75,15.34,Residential,6
East New York,Brooklyn,576,3.85,21.32,20.2,15.95,Residential,6
Glendale,Queens,335,3.87,21.15,20.05,6.44,Residential,6
Sunset Park East,Brooklyn,382,3.92,19.02,22.61,7.12,Residential,6
Van Cortlandt Village,Bronx,321,3.94,20.67,21.06,13.88,Residential,6
Grymes Hill/Clifton,Staten Island,104,3.94,21.04,20.44,6.37,Residential,6
Westchester Village/Unionport,Bronx,186,3.98,21.65,21.41,6.32,Residential,6
Soundview/Castle Hill,Bronx,321,4.02,20.46,22.29,24.24,Residential,6
Eastchester,Bronx,173,4.02,19.66,23.29,7.17,Residential,6
Middle Village,Queens,432,4.05,21.52,20.66,6.48,Residential,6
Fresh Meadows,Queens,167,4.08,21.45,20.94,6.31,Residential,6
Pelham Parkway,Bronx,304,4.14,19.69,24.36,7.12,Residential,6
Elmhurst/Maspeth,Queens,311,4.23,21.27,21.44,6.8,Residential,6
Bushwick North,Brooklyn,1547,4.25,19.62,23.4,6.72,Residential,6
Kensington,Brooklyn,339,4.31,21.23,22.65,6.43,Residential,6
Old Astoria,Queens,658,4.39,20.53,22.96,9.68,Residential,6
Maspeth,Queens,486,4.4,21.59,23.01,6.45,Residential,6
Hamilton Heights,Manhattan,756,4.44,20.09,23.66,6.49,Residential,6
Hollis,Queens,85,4.51,20.5,25.39,36.91,Residential,6
Manhattanville,Manhattan,306,4.54,19.39,24.97,6.5,Residential,6
Crown Heights South,Brooklyn,507,4.62,20.92,24.79,7.32,Residential,6
Jamaica Bay,Queens,7,4.63,16.33,26.84,6.62,Residential,6
Pelham Bay Park,Bronx,46,4.72,19.48,27.1,7.24,Residential,6
Green-Wood Cemetery,Brooklyn,15,4.77,22.69,23.7,5.76,Residential,6
Gowanus,Brooklyn,517,4.79,20.89,25.04,6.3,Residential,6
Clinton Hill,Brooklyn,1154,4.8,20.19,25.57,11.8,Residential,6
Schuylerville/Edgewater Park,Bronx,381,4.87,22.48,24.96,6.23,Residential,6
Bloomfield/Emerson Hill,Staten Island,238,4.91,22.17,25.81,6.18,Residential,6
Washington Heights North,Manhattan,780,4.93,20.54,26.58,6.8,Residential,6
Alphabet City,Manhattan,532,4.94,19.52,26.85,6.39,Residential,6
Auburndale,Queens,194,4.95,22.06,25.63,6.66,Residential,6
Eltingville/Annadale/Prince's Bay,Staten Island,130,4.95,22.61,26.09,6.21,Residential,6
Park Slope,Brooklyn,2528,5.05,20.44,26.78,6.37,Residential,6
Corona,Queens,365,5.05,19.88,26.84,28.39,Residential,6
Bay Terrace/Fort Totten,Queens,175,5.08,23.85,24.96,18.78,Residential,6
Two Bridges/Seward Park,Manhattan,787,5.13,18.92,28.92,6.58,Residential,6
Far Rockaway,Queens,173,5.26,20.55,31.21,6.88,Residential,6
Rossville/Woodrow,Staten Island,89,5.48,23.6,27.59,5.45,Residential,6
Charleston/Tottenville,Staten Island,113,5.57,24.24,26.88,5.89,Residential,6
Rockaway Park,Queens,192,5.59,24.27,30.15,6.26,Residential,6
Manhattan Valley,Manhattan,719,5.62,20.09,29.34,9.83,Residential,6
Brooklyn Heights,Brooklyn,1330,5.73,18.98,31.97,17.83,Residential,6
Howard Beach,Queens,235,5.85,22.0,28.98,6.21,Residential,6
West Village,Manhattan,1954,5.96,20.43,31.0,6.07,Residential,6
Yorkville West,Manhattan,1222,6.04,21.09,30.77,6.55,Residential,6
Sutton Place/Turtle Bay North,Manhattan,1564,6.08,20.93,31.34,6.96,Residential,6
Great Kills Park,Staten Island,1,6.1,22.3,27.36,4.49,Residential,6
Yorkville East,Manhattan,833,6.17,21.01,31.48,9.79,Residential,6
Meatpacking/West Village West,Manhattan,1418,6.34,20.04,33.54,7.43,Residential,6
Central Park,Manhattan,579,6.42,20.49,33.59,5.97,Residential,6
SoHo,Manhattan,1256,6.6,19.73,34.96,6.19,Residential,6
Greenwich Village South,Manhattan,1262,6.67,20.26,34.89,6.21,Residential,6
Seaport,Manhattan,563,6.8,19.85,36.65,6.26,Residential,6
Lincoln Square East,Manhattan,1924,6.82,21.41,34.98,8.08,Residential,6
Midtown South,Manhattan,2751,7.26,20.66,37.41,8.81,Residential,6
Battery Park City,Manhattan,1204,7.55,19.58,40.25,6.16,Residential,6
Garment District,Manhattan,1588,7.93,20.21,41.22,5.97,Residential,6
Financial District South,Manhattan,734,7.98,20.02,42.35,6.14,Business,6
Midtown Center,Manhattan,3577,8.01,19.94,42.58,7.48,Residential,6
Midtown North,Manhattan,2478,8.2,20.4,43.11,5.89,Residential,6
JFK Airport,Queens,5286,13.79,17.71,79.74,6.9,Airport,6
Astoria Park,Queens,4,3.43,18.83,19.24,5.92,Residential,11
Saint George/New Brighton,Staten Island,308,3.52,20.74,19.3,9.67,Residential,11
Marble Hill,Manhattan,87,3.52,25.48,15.59,6.03,Residential,11
Borough Park,Brooklyn,519,3.57,18.94,20.43,7.93,Residential,11
Brighton Beach,Brooklyn,339,3.6,19.96,21.61,7.43,Residential,11
West Farms/Bronx River,Bronx,145,3.68,20.33,21.04,7.7,Residential,11
Gravesend,Brooklyn,210,3.78,22.64,19.81,6.28,Residential,11
Woodhaven,Queens,292,3.8,20.75,21.37,37.71,Residential,11
Mount Hope,Bronx,232,3.81,21.55,19.97,6.91,Residential,11
Fordham South,Bronx,103,3.84,21.16,20.86,32.57,Residential,11
East Concourse/Concourse Village,Bronx,299,3.84,20.02,21.38,16.86,Residential,11
Co-Op City,Bronx,399,3.84,19.38,22.43,7.23,Residential,11
Sheepshead Bay,Brooklyn,506,3.86,21.4,21.32,6.78,Residential,11
Canarsie,Brooklyn,473,3.87,21.0,21.18,10.6,Residential,11
Forest Park/Highland Park,Queens,22,3.87,22.98,18.94,5.95,Residential,11
Jamaica,Queens,733,3.88,20.07,21.5,15.15,Residential,11
Bedford Park,Bronx,305,3.89,22.56,19.16,7.14,Residential,11
Cypress Hills,Brooklyn,233,3.95,19.18,23.58,6.71,Residential,11
Midwood,Brooklyn,481,3.96,19.34,22.52,7.35,Residential,11
Stapleton,Staten Island,197,3.97,21.82,19.41,6.14,Residential,11
Williamsbridge/Olinville,Bronx,271,4.01,21.98,21.56,13.36,Residential,11
Kew Gardens,Queens,432,4.02,19.89,21.73,6.75,Residential,11
Oakland Gardens,Queens,169,4.03,17.64,23.95,7.51,Residential,11
Starrett City,Brooklyn,91,4.05,19.7,22.7,7.33,Residential,11
Parkchester,Bronx,251,4.1,19.79,22.78,8.48,Residential,11
Flushing,Queens,843,4.11,20.71,22.21,6.69,Residential,11
East Flatbush/Farragut,Brooklyn,348,4.15,20.3,23.1,11.25,Residential,11
Rosedale,Queens,117,4.2,21.77,22.7,6.58,Residential,11
Bayside,Queens,403,4.29,22.28,22.68,6.35,Residential,11
Central Harlem North,Manhattan,1087,4.3,19.8,23.35,12.88,Residential,11
Hillcrest/Pomonok,Queens,288,4.31,21.46,22.56,15.15,Residential,11
Jamaica Estates,Queens,208,4.41,20.52,24.15,6.6,Residential,11
Bellerose,Queens,109,4.46,19.26,26.4,6.74,Residential,11
Bay Ridge,Brooklyn,1244,4.5,23.97,21.88,5.81,Residential,11
Douglaston,Queens,176,4.56,22.17,23.71,9.99,Residential,11
Columbia Street,Brooklyn,187,4.57,20.65,23.95,6.25,Residential,11
Hammels/Arverne,Queens,136,4.63,21.76,25.78,6.59,Residential,11
Steinway,Queens,1011,4.65,21.6,24.13,6.29,Residential,11
Prospect Heights,Brooklyn,854,4.66,19.48,25.48,6.56,Residential,11
Greenpoint,Brooklyn,2039,4.68,19.46,25.07,6.64,Residential,11
Long Island City/Queens Plaza,Queens,430,4.73,19.9,25.27,8.4,Residential,11
Brooklyn Navy Yard,Brooklyn,147,4.74,19.14,27.62,6.61,Residential,11
Whitestone,Queens,224,4.82,20.25,25.89,6.44,Residential,11
Fort Greene,Brooklyn,1243,4.84,19.88,26.04,7.58,Residential,11
Inwood,Manhattan,431,4.9,20.73,25.91,6.26,Residential,11
Cobble Hill,Brooklyn,425,4.93,18.74,27.6,7.25,Residential,11
South Beach/Dongan Hills,Staten Island,129,4.95,20.87,26.4,6.25,Residential,11
Glen Oaks,Queens,160,5.01,19.18,29.28,6.83,Residential,11
East Harlem South,Manhattan,1053,5.1,20.56,26.85,8.77,Residential,11
Heartland Village/Todt Hill,Staten Island,209,5.11,21.25,26.0,7.26,Residential,11
Downtown Brooklyn/MetroTech,Brooklyn,971,5.18,19.1,28.78,6.76,Business,11
Kips Bay,Manhattan,1024,5.19,20.31,27.01,10.78,Residential,11
Oakwood,Staten Island,94,5.36,22.4,27.78,6.45,Residential,11
Carroll Gardens,Brooklyn,681,5.36,22.05,26.72,6.08,Residential,11
Belmont,Bronx,288,5.39,20.87,28.3,6.84,Residential,11
DUMBO/Vinegar Hill,Brooklyn,769,5.59,18.3,32.73,13.88,Residential,11
Great Kills,Staten Island,179,5.89,24.09,27.97,6.17,Residential,11
Lenox Hill East,Manhattan,1379,5.99,20.56,31.34,10.12,Residential,11
Clinton West,Manhattan,1218,6.1,20.8,31.55,6.05,Residential,11
Battery Park,Manhattan,40,6.45,24.41,32.93,5.69,Residential,11
West Chelsea/Hudson Yards,Manhattan,2613,7.07,19.73,37.91,6.21,Residential,11
Hudson Sq,Manhattan,869,7.48,20.35,38.71,6.1,Residential,11
Times Sq/Theatre District,Manhattan,3962,8.51,20.25,45.04,8.18,Tourist,11
Randalls Island,Manhattan,32,9.06,25.43,39.28,4.56,Residential,11
Williamsbridge/Olinville,Bronx,274,3.34,20.07,19.88,6.99,Residential,10
Fordham South,Bronx,111,3.55,22.07,18.51,22.5,Residential,10
Cypress Hills,Brooklyn,225,3.58,18.99,21.85,11.37,Residential,10
Borough Park,Brooklyn,452,3.6,18.27,20.88,12.13,Residential,10
Canarsie,Brooklyn,435,3.6,20.12,20.37,13.47,Residential,10
Parkchester,Bronx,226,3.66,20.57,19.48,14.98,Residential,10
Rosedale,Queens,147,3.68,23.22,19.22,6.11,Residential,10
Marble Hill,Manhattan,80,3.71,25.28,17.13,22.55,Residential,10
Sheepshead Bay,Brooklyn,450,3.71,20.58,20.35,10.0,Residential,10
Bedford Park,Bronx,277,3.73,21.88,19.44,6.76,Residential,10
Mount Hope,Bronx,240,3.81,20.7,20.68,23.6,Residential,10
Brighton Beach,Brooklyn,369,3.87,20.05,21.56,9.72,Residential,10
Kew Gardens,Queens,458,3.94,20.61,21.0,6.43,Residential,10
Co-Op City,Bronx,366,3.98,20.54,22.29,6.91,Residential,10
Starrett City,Brooklyn,82,3.99,17.74,24.51,7.21,Residential,10
Woodhaven,Queens,255,4.0,20.29,22.12,17.61,Residential,10
Gravesend,Brooklyn,209,4.04,21.28,21.95,6.68,Residential,10
Oakwood,Staten Island,80,4.08,24.46,20.73,5.84,Residential,10
Saint George/New Brighton,Staten Island,320,4.08,21.73,20.48,6.39,Residential,10
Jamaica,Queens,854,4.18,19.95,23.32,8.49,Residential,10
East Flatbush/Farragut,Brooklyn,319,4.19,19.5,23.07,15.3,Residential,10
Flushing,Queens,937,4.22,19.84,23.77,10.18,Residential,10
Hillcrest/Pomonok,Queens,301,4.23,19.69,23.95,15.34,Residential,10
Jamaica Estates,Queens,210,4.24,19.72,25.49,7.31,Residential,10
Stapleton,Staten Island,177,4.27,21.59,22.32,6.53,Residential,10
Midwood,Brooklyn,424,4.31,18.81,24.8,7.15,Residential,10
Steinway,Queens,924,4.36,21.15,22.42,6.09,Residential,10
Central Harlem North,Manhattan,1105,4.46,20.98,22.99,6.55,Residential,10
South Beach/Dongan Hills,Staten Island,162,4.47,21.71,24.15,6.53,Residential,10
Bayside,Queens,441,4.51,21.7,23.69,6.24,Residential,10
Long Island City/Queens Plaza,Queens,457,4.54,19.93,25.3,6.49,Residential,10
Bellerose,Queens,157,4.55,20.46,26.87,6.81,Residential,10
Glen Oaks,Queens,151,4.56,19.65,27.57,6.68,Residential,10
West Farms/Bronx River,Bronx,134,4.57,20.49,25.24,44.97,Residential,10
East Concourse/Concourse Village,Bronx,294,4.58,20.36,26.2,6.9,Residential,10
Prospect Heights,Brooklyn,903,4.61,19.06,25.45,6.67,Residential,10
Forest Park/Highland Park,Queens,17,4.71,17.65,26.89,7.15,Residential,10
Hammels/Arverne,Queens,151,4.72,23.02,26.33,6.8,Residential,10
Bay Ridge,Brooklyn,1250,4.74,22.77,23.73,5.95,Residential,10
Greenpoint,Brooklyn,2181,4.75,19.55,25.73,6.66,Residential,10
Inwood,Manhattan,416,4.75,20.58,25.17,6.57,Residential,10
Astoria Park,Queens,6,4.81,20.91,24.64,5.48,Residential,10
Fort Greene,Brooklyn,1366,4.81,18.9,27.04,6.72,Residential,10
Great Kills,Staten Island,181,4.82,24.4,22.33,5.59,Residential,10
Whitestone,Queens,244,4.84,20.22,25.55,6.46,Residential,10
Columbia Street,Brooklyn,169,4.86,18.93,26.31,6.81,Residential,10
Brooklyn Navy Yard,Brooklyn,213,4.89,19.78,26.72,6.39,Residential,10
East Harlem South,Manhattan,1058,4.95,21.23,25.73,7.03,Residential,10
Belmont,Bronx,315,5.15,20.08,27.36,6.9,Residential,10
Carroll Gardens,Brooklyn,623,5.18,20.83,26.8,8.06,Residential,10
Oakland Gardens,Queens,152,5.21,21.84,26.81,6.08,Residential,10
Cobble Hill,Brooklyn,452,5.24,19.93,27.99,6.6,Residential,10
Kips Bay,Manhattan,988,5.25,20.09,27.76,8.38,Residential,10
Downtown Brooklyn/MetroTech,Brooklyn,1177,5.32,19.53,29.24,8.05,Business,10
DUMBO/Vinegar Hill,Brooklyn,849,5.51,18.47,31.36,9.27,Residential,10
Douglaston,Queens,131,5.51,19.16,30.89,6.64,Residential,10
Heartland Village/Todt Hill,Staten Island,206,5.57,21.33,27.02,6.69,Residential,10
Lenox Hill East,Manhattan,1351,5.89,20.44,30.62,6.17,Residential,10
Clinton West,Manhattan,1240,6.02,20.85,31.32,6.01,Residential,10
Battery Park,Manhattan,37,6.91,21.67,36.84,5.75,Residential,10
West Chelsea/Hudson Yards,Manhattan,2711,7.17,19.56,38.19,6.2,Residential,10
Hudson Sq,Manhattan,910,7.22,19.61,39.05,7.26,Residential,10
Randalls Island,Manhattan,30,7.63,23.25,35.89,5.23,Residential,10
Times Sq/Theatre District,Manhattan,3995,8.71,20.39,45.51,7.09,Tourist,10
Borough Park,Brooklyn,538,3.58,18.66,21.04,9.75,Residential,5
Astoria Park,Queens,8,3.61,16.14,21.18,8.16,Residential,5
Mount Hope,Bronx,229,3.69,20.45,20.42,12.26,Residential,5
Bedford Park,Bronx,280,3.82,22.0,19.65,6.57,Residential,5
Fordham South,Bronx,107,3.83,23.82,18.61,30.89,Residential,5
West Farms/Bronx River,Bronx,166,3.91,21.44,21.71,6.91,Residential,5
Marble Hill,Manhattan,91,3.93,22.71,19.98,5.97,Residential,5
Great Kills,Staten Island,177,4.01,20.36,21.94,6.55,Residential,5
Midwood,Brooklyn,453,4.03,20.12,22.16,6.82,Residential,5
Williamsbridge/Olinville,Bronx,265,4.05,21.48,20.97,9.61,Residential,5
