zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Cambria Heights,79,192.5,9.25,24.92,2
East Flushing,31,76.25,9.28,21.97,2
Murray Hill-Queens,79,186.25,9.32,27.84,2
Rego Park,95,235.0,10.03,28.42,2
Flatlands,115,276.25,11.81,40.72,2
Erasmus,84,200.0,12.02,42.79,2
Bensonhurst East,46,111.25,12.18,50.35,2
Prospect-Lefferts Gardens,269,656.25,12.86,45.12,2
Forest Hills,314,767.5,13.09,27.34,2
Bath Beach,20,48.75,13.12,49.67,2
East Williamsburg,339,841.25,13.57,38.86,2
Stuyvesant Heights,282,682.5,13.88,38.8,2
Longwood,25,61.25,14.79,36.83,2
Kingsbridge Heights,23,56.25,15.04,43.35,2
University Heights/Morris Heights,34,80.0,15.58,39.09,2
Breezy Point/Fort Tilden/Riis Beach,4,10.0,15.98,54.1,2
Claremont/Bathgate,22,55.0,16.7,39.29,2
Mott Haven/Port Morris,86,211.25,17.54,34.81,2
Highbridge,37,88.75,17.6,42.04,2
Melrose South,34,85.0,18.74,35.0,2
Morrisania/Melrose,31,73.75,18.92,42.25,2
Windsor Terrace,67,165.0,19.01,57.95,2
Hunts Point,32,77.5,19.67,38.85,2
Prospect Park,8,20.0,20.06,44.66,2
Homecrest,55,133.75,20.85,52.02,2
Van Cortlandt Park,3,6.25,21.62,34.58,2
Highbridge Park,2,5.0,21.64,40.35,2
Williamsburg (North Side),582,1443.75,21.72,43.92,2
Boerum Hill,314,782.5,22.26,47.8,2
Inwood Hill Park,7,17.5,22.39,50.07,2
City Island,5,12.5,23.05,40.46,2
Stuy Town/Peter Cooper Village,172,420.0,23.27,49.15,2
Chinatown,106,263.75,23.34,52.42,2
Spuyten Duyvil/Kingsbridge,70,175.0,23.4,54.46,2
Bronx Park,5,12.5,24.03,46.56,2
Arrochar/Fort Wadsworth,14,35.0,24.42,60.12,2
Mariners Harbor,18,42.5,24.44,50.39,2
Central Harlem,222,543.75,24.75,42.57,2
Lenox Hill West,450,1112.5,28.65,46.38,2
Westerleigh,21,51.25,29.32,50.23,2
Gramercy,489,1216.25,29.68,44.85,2
Clinton East,778,1926.25,30.74,51.59,2
Financial District North,549,1368.75,32.54,53.95,2
Little Italy/NoLiTa,356,885.0,32.61,53.72,2
New Dorp/Midland Beach,16,40.0,33.46,56.38,2
Upper East Side North,444,1101.25,33.67,50.32,2
Greenwich Village North,387,965.0,33.97,51.73,2
Penn Station/Madison Sq West,416,1031.25,34.29,50.84,2
Upper West Side South,456,1136.25,35.05,55.79,2
East Chelsea,793,1970.0,36.97,54.24,2
Union Sq,557,1390.0,37.98,52.3,2
Freshkills Park,1,2.5,42.04,48.07,2
Arden Heights,15,37.5,50.34,52.64,2
Willets Point,3,6.25,5.71,8.63,10
North Corona,75,181.25,7.69,14.53,10
South Jamaica,116,270.0,8.09,19.7,10
Saint Albans,224,532.5,8.85,22.52,10
Woodside,165,391.25,9.87,24.73,10
East New York/Pennsylvania Avenue,74,173.75,9.93,28.74,10
Queensboro Hill,54,128.75,10.08,24.72,10
Laurelton,137,327.5,10.17,21.1,10
Flushing Meadows-Corona Park,21,50.0,10.25,24.25,10
Saint Michaels Cemetery/Woodside,3,7.5,10.64,23.35,10
Astoria,472,1157.5,10.76,26.95,10
College Point,77,188.75,11.39,24.81,10
Ocean Hill,132,313.75,11.7,33.08,10
Kew Gardens Hills,91,223.75,11.87,23.89,10
Sunnyside,211,517.5,12.6,31.37,10
East Flatbush/Remsen Village,96,231.25,12.95,35.21,10
Ridgewood,217,523.75,14.22,35.98,10
Marine Park/Floyd Bennett Field,1,2.5,14.26,34.94,10
Outside of NYC,5,12.5,14.95,30.33,10
Bushwick South,449,1080.0,15.85,38.43,10
Marine Park/Mill Basin,60,146.25,16.96,42.66,10
Long Island City/Hunters Point,572,1416.25,17.29,40.38,10
East Tremont,43,97.5,17.38,42.05,10
Crown Heights North,547,1330.0,17.64,41.77,10
Bensonhurst West,52,130.0,17.77,57.27,10
Roosevelt Island,103,247.5,17.84,46.82,10
South Williamsburg,25,61.25,18.37,38.05,10
Coney Island,48,117.5,18.58,51.63,10
Pelham Bay,10,25.0,18.62,37.65,10
Flatbush/Ditmas Park,266,651.25,18.69,52.52,10
Crotona Park East,21,50.0,19.1,46.38,10
Bedford,295,720.0,19.36,42.55,10
Manhattan Beach,19,47.5,19.71,43.43,10
East Harlem North,202,495.0,20.45,33.96,10
West Concourse,60,150.0,20.99,40.83,10
Norwood,51,122.5,21.0,48.04,10
Woodlawn/Wakefield,48,116.25,21.5,49.95,10
Sunset Park West,99,243.75,21.88,59.32,10
Van Nest/Morris Park,32,77.5,22.73,36.42,10
Williamsburg (South Side),495,1228.75,22.76,44.97,10
Ocean Parkway South,16,38.75,23.23,58.82,10
Allerton/Pelham Gardens,34,83.75,23.24,45.11,10
Dyker Heights,36,88.75,23.67,54.15,10
Washington Heights South,213,523.75,24.67,46.7,10
LaGuardia Airport,20360,50132.5,25.88,44.91,10
Country Club,19,47.5,26.57,49.9,10
Crotona Park,2,5.0,27.99,35.11,10
Bloomingdale,93,230.0,28.25,46.87,10
West Brighton,11,27.5,29.11,60.36,10
Morningside Heights,251,622.5,29.55,50.67,10
Riverdale/North Riverdale/Fieldston,59,146.25,30.32,55.01,10
Red Hook,61,152.5,30.48,59.12,10
East Village,699,1731.25,30.98,49.37,10
Lower East Side,598,1481.25,33.41,51.73,10
Upper West Side North,355,882.5,33.93,51.38,10
UN/Turtle Bay South,561,1398.75,34.33,48.64,10
Murray Hill,908,2257.5,36.52,50.61,10
Lincoln Square West,358,890.0,39.13,59.77,10
Midtown East,1033,2581.25,39.63,53.99,10
Flatiron,674,1677.5,40.2,53.72,10
Upper East Side South,477,1190.0,40.28,55.34,10
World Trade Center,501,1247.5,41.99,61.76,10
Port Richmond,9,22.5,42.65,46.04,10
