zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Bushwick North,254,616.25,14.1,38.04,3
Crown Heights South,146,353.75,14.54,44.67,3
Rockaway Park,27,65.0,14.64,47.7,3
Fresh Meadows,35,85.0,15.15,33.34,3
Green-Wood Cemetery,1,2.5,15.16,52.43,3
Auburndale,37,91.25,15.46,32.52,3
Madison,51,125.0,16.66,52.2,3
Sunset Park East,32,78.75,17.73,63.87,3
Clinton Hill,347,852.5,18.08,44.75,3
Westchester Village/Unionport,27,66.25,18.15,38.01,3
Van Cortlandt Village,47,111.25,18.25,53.33,3
Soundview/Bruckner,15,35.0,18.38,38.73,3
Kensington,38,93.75,18.49,55.04,3
Schuylerville/Edgewater Park,74,177.5,18.74,37.3,3
Bronxdale,19,43.75,19.58,45.78,3
Pelham Parkway,46,110.0,20.38,43.12,3
Alphabet City,132,321.25,20.72,48.69,3
Soundview/Castle Hill,50,123.75,21.35,40.01,3
Eastchester,28,70.0,21.66,43.77,3
Two Bridges/Seward Park,220,537.5,22.42,51.25,3
Hamilton Heights,134,322.5,22.44,44.8,3
Washington Heights North,151,370.0,23.0,50.1,3
JFK Airport,18234,44503.75,23.26,58.82,3
Grymes Hill/Clifton,11,27.5,24.26,60.63,3
Park Slope,404,1002.5,24.9,54.28,3
Gowanus,53,132.5,25.12,59.24,3
Brooklyn Heights,300,747.5,26.93,56.3,3
Yorkville West,403,996.25,27.6,45.76,3
Manhattan Valley,211,515.0,28.17,51.88,3
Manhattanville,49,118.75,28.2,51.39,3
Yorkville East,286,707.5,28.96,46.43,3
Sutton Place/Turtle Bay North,414,1027.5,32.68,50.79,3
Greenwich Village South,246,613.75,34.21,55.22,3
West Village,380,947.5,36.62,54.39,3
SoHo,282,701.25,36.73,53.53,3
Financial District South,135,335.0,36.78,59.61,3
Lincoln Square East,515,1281.25,37.52,58.0,3
Seaport,196,482.5,37.73,52.78,3
Midtown South,1119,2785.0,38.12,52.29,3
Garment District,542,1351.25,39.17,54.36,3
Bloomfield/Emerson Hill,25,62.5,39.35,42.28,3
Central Park,89,220.0,39.55,59.5,3
Midtown North,754,1883.75,43.21,58.74,3
Midtown Center,984,2452.5,43.21,58.28,3
Battery Park City,321,802.5,43.89,60.43,3
Meatpacking/West Village West,279,697.5,44.39,62.44,3
Charleston/Tottenville,13,32.5,44.57,57.96,3
Eltingville/Annadale/Prince's Bay,13,32.5,46.06,65.24,3
Rossville/Woodrow,6,15.0,48.8,56.94,3
Elmhurst/Maspeth,96,233.75,8.14,26.42,11
East New York,273,643.75,8.6,22.47,11
Corona,86,206.25,8.8,22.75,11
Hollis,44,107.5,9.4,27.61,11
Richmond Hill,171,416.25,9.75,21.66,11
Howard Beach,112,270.0,9.84,18.99,11
Far Rockaway,90,211.25,10.71,32.7,11
Old Astoria,209,515.0,11.63,30.97,11
Green-Wood Cemetery,1,2.5,11.98,37.8,11
Fresh Meadows,27,63.75,12.34,31.73,11
Auburndale,42,105.0,13.68,29.62,11
Maspeth,61,150.0,14.06,32.02,11
Glendale,53,130.0,14.19,33.5,11
Middle Village,69,170.0,14.71,30.95,11
Sunset Park East,41,101.25,15.43,60.74,11
Bushwick North,305,746.25,15.85,37.43,11
Madison,38,92.5,17.09,46.83,11
Soundview/Bruckner,27,65.0,17.17,40.04,11
Kensington,47,115.0,17.49,56.31,11
Bay Terrace/Fort Totten,39,97.5,17.59,34.07,11
Van Cortlandt Village,55,135.0,18.66,50.31,11
Westchester Village/Unionport,29,72.5,18.88,35.81,11
Rockaway Park,40,97.5,19.15,47.52,11
JFK Airport,16095,38352.5,19.9,57.89,11
Soundview/Castle Hill,72,172.5,19.9,37.54,11
Bronxdale,26,62.5,20.49,47.36,11
Eastchester,50,122.5,20.54,45.56,11
Schuylerville/Edgewater Park,63,155.0,20.64,37.98,11
Pelham Parkway,62,151.25,20.71,47.81,11
Crown Heights South,118,291.25,20.72,44.84,11
Manhattanville,66,157.5,21.99,45.22,11
Washington Heights North,182,442.5,22.24,46.68,11
Clinton Hill,394,970.0,22.48,44.73,11
Gowanus,71,177.5,24.33,57.15,11
Hamilton Heights,212,516.25,24.88,46.44,11
Alphabet City,149,367.5,25.16,48.46,11
Park Slope,499,1231.25,25.38,54.69,11
Two Bridges/Seward Park,184,457.5,27.12,49.57,11
Manhattan Valley,193,476.25,30.28,51.75,11
Brooklyn Heights,326,807.5,30.53,52.49,11
Grymes Hill/Clifton,22,53.75,30.61,52.62,11
Yorkville West,447,1098.75,30.62,44.65,11
Yorkville East,313,773.75,31.05,43.79,11
Bloomfield/Emerson Hill,40,100.0,32.21,45.77,11
Sutton Place/Turtle Bay North,455,1127.5,32.25,47.75,11
Rossville/Woodrow,15,37.5,33.98,51.08,11
Greenwich Village South,251,622.5,34.75,50.58,11
Seaport,209,522.5,37.95,56.93,11
SoHo,349,870.0,39.81,60.07,11
West Village,473,1178.75,40.44,55.78,11
Lincoln Square East,512,1270.0,41.23,60.18,11
Eltingville/Annadale/Prince's Bay,17,42.5,41.39,63.73,11
Financial District South,196,487.5,41.7,61.81,11
Midtown South,1204,3003.75,41.76,54.25,11
Central Park,75,182.5,42.88,64.34,11
Midtown North,885,2210.0,43.56,61.94,11
Garment District,647,1610.0,44.24,56.94,11
Midtown Center,1043,2602.5,45.53,60.83,11
Battery Park City,358,893.75,45.76,62.19,11
Meatpacking/West Village West,280,698.75,47.05,65.03,11
Charleston/Tottenville,16,40.0,50.83,63.7,11
Howard Beach,128,306.25,8.12,19.48,4
Corona,117,280.0,8.51,21.93,4
Richmond Hill,179,425.0,8.87,20.73,4
Elmhurst/Maspeth,98,233.75,9.0,21.87,4
East New York,279,653.75,9.13,24.38,4
Hollis,58,136.25,10.04,28.49,4
Middle Village,78,193.75,11.62,29.98,4
Glendale,66,158.75,11.68,30.94,4
Maspeth,87,212.5,12.5,28.94,4
Old Astoria,177,428.75,12.51,29.51,4
Far Rockaway,90,210.0,12.91,36.58,4
Auburndale,43,103.75,13.5,36.6,4
Fresh Meadows,30,73.75,13.74,35.48,4
Bushwick North,267,653.75,14.87,37.08,4
Crown Heights South,185,453.75,14.95,45.05,4
Bay Terrace/Fort Totten,70,173.75,14.97,34.84,4
Sunset Park East,47,116.25,15.98,62.14,4
Kensington,67,163.75,16.31,58.8,4
Rockaway Park,50,123.75,16.62,51.04,4
Eastchester,36,85.0,18.14,43.06,4
Madison,60,145.0,18.23,48.82,4
Soundview/Castle Hill,62,148.75,18.28,43.43,4
Westchester Village/Unionport,27,66.25,18.59,43.38,4
Bronxdale,37,91.25,18.76,44.39,4
Soundview/Bruckner,25,62.5,19.02,43.74,4
Pelham Parkway,53,125.0,19.1,45.29,4
Van Cortlandt Village,50,122.5,19.5,50.61,4
Schuylerville/Edgewater Park,65,161.25,21.04,40.33,4
Clinton Hill,313,773.75,21.16,46.14,4
Alphabet City,151,360.0,21.83,48.51,4
Hamilton Heights,164,396.25,22.21,43.21,4
JFK Airport,19420,47568.75,23.78,58.07,4
Washington Heights North,171,425.0,23.94,49.59,4
Park Slope,479,1191.25,24.02,55.48,4
Manhattanville,74,178.75,24.56,44.83,4
Two Bridges/Seward Park,198,487.5,25.18,49.45,4
Gowanus,55,136.25,26.69,55.8,4
Yorkville West,453,1108.75,27.36,41.84,4
Yorkville East,303,750.0,28.62,44.83,4
Manhattan Valley,172,420.0,29.0,53.16,4
Brooklyn Heights,326,812.5,29.2,52.82,4
Grymes Hill/Clifton,14,35.0,30.86,57.54,4
Sutton Place/Turtle Bay North,394,977.5,32.41,50.04,4
Greenwich Village South,227,567.5,33.42,52.48,4
Seaport,190,472.5,35.34,56.53,4
Financial District South,171,427.5,36.21,57.96,4
West Village,451,1123.75,36.93,53.31,4
Bloomfield/Emerson Hill,46,113.75,37.89,46.55,4
Midtown South,1063,2646.25,38.22,51.13,4
Lincoln Square East,526,1307.5,39.37,58.2,4
Garment District,517,1292.5,39.48,53.59,4
Pelham Bay Park,3,7.5,39.65,65.64,4
SoHo,268,668.75,40.02,54.47,4
Charleston/Tottenville,18,45.0,40.53,65.11,4
Central Park,85,211.25,41.46,58.38,4
Eltingville/Annadale/Prince's Bay,16,40.0,41.5,54.91,4
Midtown Center,1000,2492.5,43.23,58.13,4
Midtown North,843,2105.0,43.54,60.51,4
Battery Park City,355,881.25,43.56,60.42,4
Meatpacking/West Village West,306,762.5,46.15,61.22,4
Rossville/Woodrow,16,40.0,46.75,52.41,4
Elmhurst/Maspeth,68,166.25,8.57,21.46,1
Howard Beach,106,250.0,8.89,17.51,1
Hollis,55,128.75,9.37,25.04,1
Corona,90,216.25,9.48,21.54,1
East New York,247,576.25,9.57,22.0,1
Richmond Hill,160,382.5,10.36,21.37,1
Old Astoria,192,473.75,11.84,29.93,1
Auburndale,50,122.5,12.31,28.23,1
Maspeth,58,142.5,12.54,29.91,1
Fresh Meadows,23,57.5,12.58,28.29,1
Sunset Park East,28,68.75,12.72,61.71,1
Middle Village,84,210.0,13.12,32.58,1
Far Rockaway,94,221.25,13.5,35.78,1
Glendale,56,136.25,14.27,32.53,1
Crown Heights South,151,363.75,14.6,42.45,1
Bay Terrace/Fort Totten,56,140.0,14.63,30.77,1
Bushwick North,205,496.25,14.83,35.83,1
Rockaway Park,37,91.25,15.06,45.0,1
Madison,64,160.0,17.15,50.28,1
Bronxdale,26,65.0,17.67,44.4,1
Van Cortlandt Village,43,103.75,18.41,51.05,1
Soundview/Castle Hill,44,108.75,18.42,39.23,1
Westchester Village/Unionport,27,65.0,18.48,32.54,1
Kensington,45,111.25,18.51,54.04,1
Schuylerville/Edgewater Park,59,146.25,19.03,38.13,1
Soundview/Bruckner,13,31.25,19.08,36.8,1
Grymes Hill/Clifton,17,41.25,19.18,58.5,1
Clinton Hill,257,633.75,19.74,44.45,1
Pelham Bay Park,3,7.5,20.03,22.12,1
Gowanus,52,127.5,20.24,55.06,1
Eastchester,21,52.5,20.28,41.58,1
JFK Airport,19708,48240.0,20.45,53.7,1
Alphabet City,121,297.5,20.61,45.65,1
Pelham Parkway,55,132.5,20.91,40.93,1
Manhattanville,47,111.25,21.21,44.31,1
Park Slope,379,940.0,22.48,52.49,1
Two Bridges/Seward Park,159,386.25,23.46,45.86,1
Washington Heights North,154,377.5,23.88,45.8,1
Hamilton Heights,139,341.25,23.92,45.12,1
Yorkville West,376,930.0,26.89,41.79,1
Yorkville East,220,543.75,27.05,42.94,1
Brooklyn Heights,246,611.25,27.54,52.48,1
Manhattan Valley,169,416.25,28.9,49.23,1
Bloomfield/Emerson Hill,31,77.5,29.34,53.55,1
Sutton Place/Turtle Bay North,384,957.5,30.39,46.08,1
Greenwich Village South,181,450.0,30.76,49.99,1
Seaport,146,360.0,31.59,50.02,1
West Village,386,963.75,35.42,51.95,1
Midtown South,936,2332.5,35.42,48.64,1
SoHo,226,565.0,35.57,53.01,1
Financial District South,131,326.25,36.27,55.3,1
Garment District,616,1535.0,37.02,50.08,1
Central Park,53,131.25,37.2,60.25,1
Lincoln Square East,431,1076.25,38.12,57.72,1
Battery Park City,278,693.75,38.31,57.86,1
Midtown Center,903,2255.0,38.9,54.3,1
Eltingville/Annadale/Prince's Bay,13,32.5,39.04,56.11,1
Midtown North,729,1815.0,39.17,56.43,1
Meatpacking/West Village West,245,611.25,39.51,56.11,1
Charleston/Tottenville,14,35.0,39.63,58.12,1
Rossville/Woodrow,10,25.0,39.77,59.55,1
